Dealer ID,Country,State,City,Zip Code,Address,Dealer Name,Contact Name,Contact Phone Number,Latitude,Longitude
1402,United States,Colorado,Littleton,80120,6300 S Broadway,Broadway Auto,Gary Syrett,1 (303) 555-6889,39.597636,-104.995967
1215,United States,Colorado,Federal Heights,80221,9190 N Federal Blvd,Club Auto Sales,David Latella,1 (303) 555-2993,39.786308,-105.017805
1336,United States,Colorado,Denver,80204,1350 W Colfax Ave,Colfax Auto,Louis Feldcamp,1 (303) 555-9383,39.740997,-105.04363
1301,United States,Colorado,Denver,80238,9190 E 33rd Ave,Great Outdoors Auto,Robert Young,1 (303) 555-3333,39.763054,-104.904543
1401,United States,Colorado,Colorado Springs,80219,1905 S Federal Blvd,Narezney's Auto,Abdul Syed,1 (719) 555-4559,39.68117,-105.025948
1217,United States,Colorado,Aurora,80014,2651 Parker Rd,North Parker Auto,Wayne Anderson,1 (303) 555-3432,39.6658,-104.862904
1288,United States,Colorado,Denver,80211,3320 W 38th Ave,Northern Auto Sales,Janet Duggan,1 (303) 555-6548,39.768236,-105.090212
1212,United States,Colorado,Aurora,80016,6462 S Parker Rd,South Parker Auto,Terry Swift,1 (303) 555-5441,39.597741,-104.800634
1222,United States,Colorado,Westminster,80234,200 W 136th Ave,Suwanda's Auto,Vinay Acharya,1 (303) 555-1188,39.940411,-104.990615
1224,United States,Colorado,Arvada,80002,9825 W 58th Ave,Weston Auto,Rebbeca Kaplan,1 (303) 555-1354,39.803246,-105.108362
1403,United States,Colorado,Denver,80203,445 Broadway St,Denver AutoPlex,Maria Lopez,1 (303) 555-1010,39.724,-104.989
1404,United States,Colorado,Aurora,80010,2010 S Havana St,Havana Motors,Sam Chen,1 (720) 555-2222,39.693,-104.861
1405,United States,Colorado,Lakewood,80226,7200 W Alameda Ave,Lakewood Auto,Nina Park,1 (303) 555-3333,39.712,-105.09
1406,United States,Colorado,Westminster,80031,9000 Sheridan Blvd,Sheridan Cars,Brad Turner,1 (303) 555-4444,39.848,-105.037
1407,United States,Colorado,Thornton,80229,1500 E 88th Ave,Thornton Motors,Jade Williams,1 (720) 555-5555,39.879,-104.966
1408,United States,Colorado,Pueblo,81003,130 N Santa Fe Ave,Pueblo Auto Sales,Rick Gomez,1 (719) 555-6666,38.268,-104.609
1409,United States,Colorado,Fort Collins,80521,222 S College Ave,Fort Collins Cars,Ally Baker,1 (970) 555-7777,40.585,-105.075
1410,United States,Colorado,Colorado Springs,80905,701 S Tejon St,Springs Auto,Dave King,1 (719) 555-8888,38.828,-104.825
1411,United States,Colorado,Boulder,80302,2500 Arapahoe Ave,Boulder Motors,Kelly Hart,1 (303) 555-9999,40.015,-105.27
1412,United States,Colorado,Greeley,80631,2900 8th Ave,Greeley Auto,Tom Russo,1 (970) 555-0011,40.416,-104.703
1413,United States,Colorado,Arvada,80002,5700 Wadsworth Blvd,Arvada Wheels,Pat Diaz,1 (303) 555-0022,39.8,-105.074
1414,United States,Colorado,Highlands Ranch,80129,1200 Town Center Dr,HR Auto Group,Sue Lee,1 (303) 555-0033,39.562,-104.97
1415,United States,Colorado,Broomfield,80021,3300 W 120th Ave,Broomfield Auto,Joe Mills,1 (303) 555-0044,39.92,-105.054
1416,United States,Colorado,Parker,80134,18800 Mainstreet,Parker Cars,Ann Fox,1 (303) 555-0055,39.518,-104.762
1417,United States,Colorado,Castle Rock,80104,100 Wilcox St,Castle Rock Motors,Ben Shaw,1 (303) 555-0066,39.372,-104.857
1418,United States,Colorado,Commerce City,80022,6500 E 60th Ave,Commerce Auto,Liz Moon,1 (303) 555-0077,39.809,-104.916
1419,United States,Colorado,Longmont,80501,1500 N Main St,Longmont Auto,Chris Han,1 (303) 555-0088,40.167,-105.102
1420,United States,Colorado,Loveland,80538,100 E Eisenhower Blvd,Loveland Cars,Diana Pitt,1 (970) 555-0099,40.398,-105.075
1421,United States,Colorado,Grand Junction,81501,700 Horizon Dr,Grand Junction Auto,Mike Cole,1 (970) 555-0110,39.064,-108.551
1422,United States,Colorado,Englewood,80110,3000 S Broadway,Englewood Motors,Sara Quinn,1 (303) 555-0121,39.648,-104.988
1423,United States,Colorado,Centennial,80112,8000 E Arapahoe Rd,Centennial Auto,Ray Cruz,1 (303) 555-0132,39.579,-104.871
1424,United States,Colorado,Littleton,80127,7985 W Bowles Ave,Bowles Auto,Fay Bird,1 (303) 555-0143,39.601,-105.105
1425,United States,Colorado,Wheat Ridge,80033,3500 Youngfield St,Wheat Ridge Cars,Ed Stone,1 (303) 555-0154,39.768,-105.122
1426,United States,Colorado,Northglenn,80233,10600 Melody Dr,Northglenn Auto,Kim Ryan,1 (303) 555-0165,39.91,-104.971
1427,United States,Colorado,Brighton,80601,350 S 4th Ave,Brighton Motors,Al Holt,1 (303) 555-0176,39.985,-104.817
1428,United States,Colorado,Pueblo West,81007,750 S McCulloch Blvd,Pueblo West Auto,Vera Lang,1 (719) 555-0187,38.349,-104.722
1429,United States,Colorado,Windsor,80550,1200 Main St,Windsor Cars,Glen Ford,1 (970) 555-0198,40.478,-104.902
1430,United States,Colorado,Erie,80516,690 US-287,Erie Auto,May Webb,1 (303) 555-0209,40.05,-105.044
1431,United States,Colorado,Lafayette,80026,500 W South Boulder Rd,Lafayette Auto,Don Craig,1 (303) 555-0220,39.993,-105.09
1432,United States,Colorado,Louisville,80027,910 US-42,Louisville Motors,Amy Carr,1 (303) 555-0231,39.978,-105.132
1433,United States,Colorado,Superior,80027,350 McCaslin Blvd,Superior Auto,Ian Page,1 (303) 555-0242,39.95,-105.164
1434,United States,Colorado,Steamboat Springs,80487,1255 S Lincoln Ave,Steamboat Auto,Dot Hill,1 (970) 555-0253,40.483,-106.834
1435,United States,Colorado,Durango,81301,2700 Main Ave,Durango Motors,Carl Dunn,1 (970) 555-0264,37.275,-107.88
1436,United States,Colorado,Montrose,81401,2200 N Townsend Ave,Montrose Auto,Rose Ash,1 (970) 555-0275,38.477,-107.876
1437,United States,Colorado,Glenwood Springs,81601,51000 US-6,Glenwood Auto,Eli Cobb,1 (970) 555-0286,39.549,-107.325
1438,United States,Colorado,Canon City,81212,2000 US-50,Canon City Cars,Ida Lane,1 (719) 555-0297,38.441,-105.248
1439,United States,Colorado,Salida,81201,7775 US-50,Salida Motors,Lee Rand,1 (719) 555-0308,38.533,-106.0
1440,United States,Colorado,Alamosa,81101,1900 Main St,Alamosa Auto,Nora Keys,1 (719) 555-0319,37.47,-105.87
